SENTENCE_ID,SENTENCE,NUMBER_WORDS_SENTENCE
1-1017,"That  is  interesting,  said  Poirot  quickly. ",6
1-1018,"Yes,  it  is  suggestive ...his  eye  sweeping  the  whole  length  of  the  wall... but  it  was  not  his  candle  that  made  this  great  patch,  for  you  perceive  that  this  is  white  grease;  whereas  Monsieur  Lawrence's  candle,  which  is  still  on  the  dressing-table,  is  pink. ",42
1-1019,"On  the  other  hand,  Mr.s.  Inglethorp  had  no  candlestick  in  the  room,  only  a  reading-lamp. ",15
1-1020,"Then,  I  said,  what  do  you  deduce? ",7
1-1021,"To  which  my  friend  only  made  a  rather  irritating  reply,  urging  me  to  use  my  own  natural  faculties. ",18
1-1022,And  the  sixth  point?  I  asked. ,6
1-1023,I  suppose  it  is  the  sample  of  cocoa. ,8
1-1024,"No,  said  Poirot  thoughtfully. ",4
1-1025,"I  might  have  included  that  in  the  six,  but  I  did  not. ",12
1-1026,"No,  the  sixth  point  I  will  keep  to  myself  for  the  present. ",12
1-1027,He  looked  quickly  round  the  room. ,6
1-1028,"There  is  nothing  more  to  be  done  here,  I  think,  unless ...he  stared  earnestly  and  long  at  the  dead  ashes  in  the  grate. ",22
1-1029,The  fire  burns...and  it  destroys. ,5
1-1030,But  by  chance...there  might  be...let  us  see! ,7
1-1031,"Deftly,  on  hands  and  knees,  he  began  to  sort  the  ashes  from  the  grate  into  the  fender,  handling  them  with  the  greatest  caution. ",23
1-1032,"Suddenly,  he  gave  a  faint  exclamation. ",6
1-1033,"The  forceps,  Hastings! ",3
1-1034,"I  quickly  handed  them  to  him,  and  with  skill  he  extracted  a  small  piece  of  half  charred  paper. ",18
1-1035,"There,  mon  ami!  he  cried. ",5
1-1036,What  do  you  think  of  that? ,6
1-1037,I  scrutinized  the  fragment. ,4
1-1038,This  is  an  exact  reproduction  of  it:...  I  was  puzzled. ,10
1-1039,"It  was  unusually  thick,  quite  unlike  ordinary  notepaper. ",8
1-1040,Suddenly  an  idea  struck  me. ,5
1-1041,Poirot!  I  cried. ,3
1-1042,This  is  a  fragment  of  a  will! ,7
1-1043,Exactly. ,1
1-1044,I  looked  up  at  him  sharply. ,6
1-1045,You  are  not  surprised? ,4
1-1046,"No,  he  said  gravely,  I  expected  it. ",7
1-1047,"I  relinquished  the  piece  of  paper,  and  watched  him  put  it  away  in  his  case,  with  the  same  methodical  care  that  he  bestowed  on  everything. ",25
1-1048,My  brain  was  in  a  whirl. ,6
1-1049,What  was  this  complication  of  a  will? ,7
1-1050,Who  had  destroyed  it? ,4
1-1051,The  person  who  had  left  the  candle  grease  on  the  floor? ,11
1-1052,Obviously. ,1
1-1053,But  how  had  anyone  gained  admission? ,6
1-1054,All  the  doors  had  been  bolted  on  the  inside. ,9
1-1055,"Now,  my  friend,  said  Poirot  briskly,  we  will  go. ",9
1-1056,"I  should  like  to  ask  a  few  questions  of  the  parlourmaid...Dorcas,  her  name  is,  is  it  not? ",17
1-1057,"We  passed  through  Alfred  Inglethorp's  room,  and  Poirot  delayed  long  enough  to  make  a  brief  but  fairly  comprehensive  examination  of  it. ",21
1-1058,"We  went  out  through  that  door,  locking  both  it  and  that  of  Mr.s.  Inglethorp's  room  as  before. ",17
1-1059,"I  took  him  down  to  the  boudoir  which  he  had  expressed  a  wish  to  see,  and  went  myself  in  search  of  Dorcas. ",22
1-1060,"When  I  returned  with  her,  however,  the  boudoir  was  empty. ",10
1-1061,"Poirot,  I  cried,  where  are  you? ",6
1-1062,"I  am  here,  my  friend. ",5
1-1063,"He  had  stepped  outside  the  French  window,  and  was  standing,  apparently  lost  in  admiration,  before  the  various  shaped  flower  beds. ",20
1-1064,Admirable! ,1
1-1065,he  murmured. ,2
1-1066,Admirable! ,1
1-1067,What  symmetry! ,2
1-1068,Observe  that  crescent;  and  those  diamonds...their  neatness  rejoices  the  eye. ,10
1-1069,"The  spacing  of  the  plants,  also,  is  perfect. ",8
1-1070,It  has  been  recently  done;  is  it  not  so? ,9
1-1071,"Yes,  I  believe  they  were  at  it  yesterday  afternoon. ",9
1-1072,But  come  in...Dorcas  is  here. ,5
1-1073,"Eh  bien,  eh  bien! ",4
1-1074,Do  not  grudge  me  a  moment's  satisfaction  of  the  eye. ,10
1-1075,"Yes,  but  this  affair  is  more  important. ",7
1-1076,And  how  do  you  know  that  these  fine  begonias  are  not  of  equal  importance? ,14
1-1077,I  shrugged  my  shoulders. ,4
1-1078,There  was  really  no  arguing  with  him  if  he  chose  to  take  that  line. ,14
1-1079,You  do  not  agree? ,4
1-1080,But  such  things  have  been. ,5
1-1081,"Well,  we  will  come  in  and  interview  the  brave  Dorcas. ",10
1-1082,"Dorcas  was  standing  in  the  boudoir,  her  hands  folded  in  front  of  her,  and  her  grey  hair  rose  in  stiff  waves  under  her  white  cap. ",25
1-1083,She  was  the  very  model  and  picture  of  a  good  old-fashioned  servant. ,12
1-1084,"In  her  attitude  towards  Poirot,  she  was  inclined  to  be  suspicious,  but  he  soon  broke  down  her  defences. ",18
1-1085,He  drew  forward  a  chair. ,5
1-1086,"Pray  be  seated,  mademoiselle. ",4
1-1087,"Thank  you,  sir. ",3
1-1088,"You  have  been  with  your  mistress  many  years,  is  it  not  so? ",12
1-1089,"Ten  years,  sir. ",3
1-1090,"That  is  a  long  time,  and  very  faithful  service. ",9
1-1091,"You  were  much  attached  to  her,  were  you  not? ",9
1-1092,"She  was  a  very  good  mistress  to  me,  sir. ",9
1-1093,Then  you  will  not  object  to  answering  a  few  questions. ,10
1-1094,I  put  them  to  you  with  mr  Cavendish's  full  approval. ,10
1-1095,"Oh,  certainly,  sir. ",3
1-1096,Then  I  will  begin  by  asking  you  about  the  events  of  yesterday  afternoon. ,13
1-1097,Your  mistress  had  a  quarrel? ,5
1-1098,"Yes,  sir. ",2
1-1099,But  I  don't  know  that  I  ought......  Dorcas  hesitated. ,9
1-1100,Poirot  looked  at  her  keenly. ,5
1-1101,"My  good  Dorcas,  it  is  necessary  that  I  should  know  every  detail  of  that  quarrel  as  fully  as  possible. ",19
1-1102,Do  not  think  that  you  are  betraying  your  mistress's  secrets. ,10
1-1103,"Your  mistress  lies  dead,  and  it  is  necessary  that  we  should  know  all...if  we  are  to  avenge  her. ",18
1-1104,"Nothing  can  bring  her  back  to  life,  but  we  do  hope,  if  there  has  been  foul  play,  to  bring  the  murderer  to  justice. ",23
1-1105,"Amen  to  that,  said  Dorcas  fiercely. ",6
1-1106,"And,  naming  no  names,  there's  one  in  this  house  that  none  of  us  could  ever  abide! ",16
1-1107,And  an  ill  day  it  was  when  first  'he'  darkened  the  threshold. ,12
1-1108,"Poirot  waited  for  her  indignation  to  subside,  and  then,  resuming  his  business-like  tone,  he  asked:  Now,  as  to  this  quarrel? ",20
1-1109,What  is  the  first  you  heard  of  it? ,8
1-1110,"Well,  sir,  I  happened  to  be  going  along  the  hall  outside  yesterday...... ",12
1-1111,What time  was  that? ,4
1-1112,"I  couldn't  say  exactly,  sir,  but  it  wasn't  tea-time  by  a  long  way. ",13
1-1113,Perhaps  four  o'clock...or  it  may  have  been  a  bit  later. ,10
1-1114,"Well,  sir,  as  I  said,  I  happened  to  be  passing  along,  when  I  heard  voices  very  loud  and  angry  in  here. ",21
1-1115,"I  didn't  exactly  mean  to  listen,  but...well,  there  it  is. ",10
1-1116,I  stopped. ,2
1-1117,"The  door  was  shut,  but  the  mistress  was  speaking  very  sharp  and  clear,  and  I  heard  what  she  said  quite  plainly. ",21
1-1118,"'You  have  lied  to  me,  and  deceived  me,'  she  said. ",10
1-1119,I  didn't  hear  what  mr  Inglethorp  replied. ,7
1-1120,He  spoke  a  good  bit  lower  than  she  did...but  she  answered:  'How  dare  you? ,14
1-1121,I  have  kept  you  and  clothed  you  and  fed  you! ,10
1-1122,You  owe  everything  to  me! ,5
1-1123,And  this  is  how  you  repay  me! ,7
1-1124,By  bringing  disgrace  upon  our  name!' ,6
1-1125,"Again  I  didn't  hear  what  he  said,  but  she  went  on:  'Nothing  that  you  can  say  will  make  any  difference. ",20
1-1126,I  see  my  duty  clearly. ,5
1-1127,My  mind  is  made  up. ,5
1-1128,"You  need  not  think  that  any  fear  of  publicity,  or  scandal  between  husband  and  wife  will  deter  me.' ",18
1-1129,"Then  I  thought  I  heard  them  coming  out,  so  I  went  off  quickly. ",13
1-1130,You  are  sure  it  was  mr  Inglethorp's  voice  you  heard? ,10
1-1131,"Oh,  yes,  sir,  whose  else's  could  it  be? ",8
1-1132,"Well,  what  happened  next? ",4
1-1133,"Later,  I  came  back  to  the  hall;  but  it  was  all  quiet. ",12
1-1134,"At  five  o'clock,  Mr.s.  Inglethorp  rang  the  bell  and  told  me  to  bring  her  a  cup  of  tea...nothing  to  eat...to  the  boudoir. ",22
1-1135,She  was  looking  dreadful...so  white  and  upset. ,7
1-1136,"'Dorcas,'  she  says,  'I've  had  a  great  shock.' ",8
1-1137,"'I'm  sorry  for  that,  m'm,'  I  says. ",7
1-1138,"'You'll  feel  better  after  a  nice  hot  cup  of  tea,  m'm.' ",11
1-1139,She  had  something  in  her  hand. ,6
1-1140,"I  don't  know  if  it  was  a  letter,  or  just  a  piece  of  paper,  but  it  had  writing  on  it,  and  she  kept  staring  at  it,  almost  as  if  she  couldn't  believe  what  was  written  there. ",36
1-1141,"She  whispered  to  herself,  as  though  she  had  forgotten  I  was  there:  'These  few  words...and  everything's  changed.' ",17
1-1142,"And  then  she  says  to  me:  'Never  trust  a  man,  Dorcas,  they're  not  worth  it!' ",15
1-1143,"I  hurried  off,  and  got  her  a  good  strong  cup  of  tea,  and  she  thanked  me,  and  said  she'd  feel  better  when  she'd  drunk  it. ",25
1-1144,"'I  don't  know  what  to  do,'  she  says. ",8
1-1145,"'Scandal  between  husband  and  wife  is  a  dreadful  thing,  Dorcas. ",10
1-1146,I'd  rather  hush  it  up  if  I  could.' ,8
1-1147,"Mr.s.  Cavendish  came  in  just  then,  so  she  didn't  say  any  more. ",12
1-1148,"She  still  had  the  letter,  or  whatever  it  was,  in  her  hand? ",12
1-1149,"Yes,  sir. ",2
1-1150,What  would  she  be  likely  to  do  with  it  afterwards? ,10
1-1151,"Well,  I  don't  know,  sir,  I  expect  she  would  lock  it  up  in  that  purple  case  of  hers. ",18
1-1152,Is  that  where  she  usually  kept  important  papers? ,8
1-1153,"Yes,  sir. ",2
1-1154,"She  brought  it  down  with  her  every  morning,  and  took  it  up  every  night. ",14
1-1155,When  did  she  lose  the  key  of  it? ,8
1-1156,"She  missed  it  yesterday  at  lunch-time,  sir,  and  told  me  to  look  carefully  for  it. ",15
1-1157,She  was  very  much  put  out  about  it. ,8
1-1158,But  she  had  a  duplicate  key? ,6
1-1159,"Oh,  yes,  sir. ",3
1-1160,"Dorcas  was  looking  very  curiously  at  him  and,  to  tell  the  truth,  so  was  I. ",15
1-1161,What  was  all  this  about  a  lost  key? ,8
1-1162,Poirot  smiled. ,2
1-1163,"Never  mind,  Dorcas,  it  is  my  business  to  know  things. ",10
1-1164,Is  this  the  key  that  was  lost? ,7
1-1165,He  drew  from  his  pocket  the  key  that  he  had  found  in  the  lock  of  the  despatch-case  upstairs. ,18
1-1166,Dorcas's  eyes  looked  as  though  they  would  pop  out  of  her  head. ,12
1-1167,"That's  it,  sir,  right  enough. ",5
1-1168,But  where  did  you  find  it? ,6
1-1169,I  looked  everywhere  for  it. ,5
1-1170,"Ah,  but  you  see  it  was  not  in  the  same  place  yesterday  as  it  was  today. ",16
1-1171,"Now,  to  pass  to  another  subject,  had  your  mistress  a  dark  green  dress  in  her  wardrobe? ",16
1-1172,Dorcas  was  rather  startled  by  the  unexpected  question. ,8
1-1173,"No,  sir. ",2
1-1174,Are  you  quite  sure? ,4
1-1175,"Oh,  yes,  sir. ",3
1-1176,Has  anyone  else  in  the  house  got  a  green  dress? ,10
1-1177,Dorcas  reflected. ,2
1-1178,Miss  Cynthia  has  a  green  evening  dress. ,7
1-1179,Light  or  dark  green? ,4
1-1180,"A  light  green,  sir;  a  sort  of  chiffon,  they  call  it. ",11
1-1181,"Ah,  that  is  not  what  I  want. ",7
1-1182,And  nobody  else  has  anything  green? ,6
1-1183,"No,  sir...not  that  I  know  of. ",6
1-1184,Poirot's  face  did  not  betray  a  trace  of  whether  he  was  disappointed  or  otherwise. ,14
1-1185,"He  merely  remarked:  Good,  we  will  leave  that  and  pass  on. ",11
1-1186,Have  you  any  reason  to  believe  that  your  mistress  was  likely  to  take  a  sleeping  powder  last  night? ,18
1-1187,"Not  last  night,  sir,  I  know  she  didn't. ",8
1-1188,Why  do  you  know  so  positively? ,6
1-1189,Because  the  box  was  empty. ,5
1-1190,"She  took  the  last  one  two  days  ago,  and  she  didn't  have  any  more  made  up. ",16
1-1191,You  are  quite  sure  of  that? ,6
1-1192,"Positive,  sir. ",2
1-1193,Then  that  is  cleared  up! ,5
1-1194,"By  the  way,  your  mistress  didn't  ask  you  to  sign  any  paper  yesterday? ",13
1-1195,To  sign  a  paper? ,4
1-1196,"No,  sir. ",2
1-1197,"When  mr  Hastings  and  mr  Lawrence  came  in  yesterday  evening,  they  found  your  mistress  busy  writing  letters. ",17
1-1198,I  suppose  you  can  give  me  no  idea  to  whom  these  letters  were  addressed? ,14
1-1199,"I'm  afraid  I  couldn't,  sir. ",5
1-1200,I  was  out  in  the  evening. ,6
1-1201,"Perhaps  Annie  could  tell  you,  though  she's  a  careless  girl. ",10
1-1202,Never  cleared  the  coffee-cups  away  last  night. ,7
1-1203,That's  what  happens  when  I'm  not  here  to  look  after  things. ,11
1-1204,Poirot  lifted  his  hand. ,4
1-1205,"Since  they  have  been  left,  Dorcas,  leave  them  a  little  longer,  I  pray  you. ",14
1-1206,I  should  like  to  examine  them. ,6
1-1207,"Very  well,  sir. ",3
1-1208,What  time  did  you  go  out  last  evening? ,8
1-1209,"About  six  o'clock,  sir. ",4
1-1210,"Thank  you,  Dorcas,  that  is  all  I  have  to  ask  you. ",11
1-1211,He  rose  and  strolled  to  the  window. ,7
1-1212,I  have  been  admiring  these  flower  beds. ,7
1-1213,"How  many  gardeners  are  employed  here,  by  the  way? ",9
1-1214,"Only  three  now,  sir. ",4
1-1215,"Five,  we  had,  before  the  war,  when  it  was  kept  as  a  gentleman's  place  should  be. ",16
1-1216,"I  wish  you  could  have  seen  it  then,  sir. ",9
1-1217,A  fair  sight  it  was. ,5
1-1218,"But  now  there's  only  old  Manning,  and  young  William,  and  a  new-fashioned  woman  gardener  in  breeches  and  such-like. ",18
1-1219,"Ah,  these  are  dreadful  times! ",5
1-1220,"The  good  times  will  come  again,  Dorcas. ",7
1-1221,"At  least,  we  hope  so. ",5
1-1222,"Now,  will  you  send  Annie  to  me  here? ",8
1-1223,"Yes,  sir. ",2
1-1224,"Thank  you,  sir. ",3
1-1225,"How  did  you  know  that  Mr.s.  Inglethorp  took  sleeping  powders?  I  asked,  in  lively  curiosity,  as  Dorcas  left  the  room. ",20
1-1226,And  about  the  lost  key  and  the  duplicate? ,8
1-1227,One  thing  at  a  time. ,5
1-1228,"As  to  the  sleeping  powders,  I  knew  by  this. ",9
1-1229,"He  suddenly  produced  a  small  cardboard  box,  such  as  chemists  use  for  powders. ",13
1-1230,Where  did  you  find  it? ,5
1-1231,In  the  wash-stand  drawer  in  Mr.s.  Inglethorp's  bedroom. ,8
1-1232,It  was  Number  Six  of  my  catalogue. ,7
1-1233,"But  I  suppose,  as  the  last  powder  was  taken  two  days  ago,  it  is  not  of  much  importance? ",18
1-1234,"Probably  not,  but  do  you  notice  anything  that  strikes  you  as  peculiar  about  this  box? ",15
1-1235,I  examined  it  closely. ,4
1-1236,"No,  I  can't  say  that  I  do. ",7
1-1237,Look  at  the  label. ,4
1-1238,"I  read  the  label  carefully:  'One  powder  to  be  taken  at  bedtime,  if  required. ",14
1-1239,Mr.s.  Inglethorp.' ,2
1-1240,"No,  I  see  nothing  unusual. ",5
1-1241,Not  the  fact  that  there  is  no  chemist's  name? ,9
1-1242,Ah! ,1
1-1243,I  exclaimed. ,2
1-1244,"To  be  sure,  that  is  odd! ",6
1-1245,"Have  you  ever  known  a  chemist  to  send  out  a  box  like  that,  without  his  printed  name? ",17
1-1246,"No,  I  can't  say  that  I  have. ",7
1-1247,"I  was  becoming  quite  excited,  but  Poirot  damped  my  ardour  by  remarking:  Yet  the  explanation  is  quite  simple.So ",18
1-1248,"do  not  intrigue  yourself,  my  friend. ",6
1-1249,"An  audible  creaking  proclaimed  the  approach  of  Annie,  so  I  had  no  time  to  reply. ",15
1-1250,"Annie  was  a  fine,  strapping  girl,  and  was  evidently  labouring  under  intense  excitement,  mingled  with  a  certain  ghoulish  enjoyment  of  the  tragedy. ",22
1-1251,"Poirot  came  to  the  point  at  once,  with  a  business-like  briskness. ",11
1-1252,"I  sent  for  you,  Annie,  because  I  thought  you  might  be  able  to  tell  me  something  about  the  letters  Mr.s.  Inglethorp  wrote  last  night. ",24
1-1253,How  many  were  there? ,4
1-1254,And  can  you  tell  me  any  of  the  names  and  addresses? ,11
1-1255,Annie  considered. ,2
1-1256,"There  were  four  letters,  sir. ",5
1-1257,"One  was  to  Miss  Howard,  and  one  was  to  mr  Wells,  the  lawyer,  and  the  other  two  I  don't  think  I  remember,  sir...oh,  yes,  one  was  to  Ross's,  the  caterers  in  Tadminster. ",32
1-1258,"The  other  one,  I  don't  remember. ",6
1-1259,"Think,  urged  Poirot. ",3
1-1260,Annie  racked  her  brains  in  vain. ,6
1-1261,"I'm  sorry,  sir,  but  it's  clean  gone. ",7
1-1262,I  don't  think  I  can  have  noticed  it. ,8
1-1263,"It  does  not  matter,  said  Poirot,  not  betraying  any  sign  of  disappointment. ",12
1-1264,Now  I  want  to  ask  you  about  something  else. ,9
1-1265,There  is  a  saucepan  in  Mr.s.  Inglethorp's  room  with  some  cocoa  in  it. ,13
1-1266,Did  she  have  that  every  night? ,6
1-1267,"Yes,  sir,  it  was  put  in  her  room  every  evening,  and  she  warmed  it  up  in  the  night...whenever  she  fancied  it. ",21
1-1268,What  was  it? ,3
1-1269,Plain  cocoa? ,2
1-1270,"Yes,  sir,  made  with  milk,  with  a  teaspoonful  of  sugar,  and  two  teaspoonfuls  of  rum  in  it. ",17
1-1271,Who  took  it  to  her  room? ,6
1-1272,"I  did,  sir. ",3
1-1273,Always? ,1
1-1274,"Yes,  sir. ",2
1-1275,At  what  time? ,3
1-1276,"When  I  went  to  draw  the  curtains,  as  a  rule,  sir. ",11
1-1277,Did  you  bring  it  straight  up  from  the  kitchen  then? ,10
1-1278,"No,  sir,  you  see  there's  not  much  room  on  the  gas  stove,  so  Cook  used  to  make  it  early,  before  putting  the  vegetables  on  for  supper. ",26
1-1279,"Then  I  used  to  bring  it  up,  and  put  it  on  the  table  by  the  swing  door,  and  take  it  into  her  room  later. ",24
1-1280,"The  swing  door  is  in  the  left  wing,  is  it  not? ",11
1-1281,"Yes,  sir. ",2
1-1282,"And  the  table,  is  it  on  this  side  of  the  door,  or  on  the  farther...servants'  side? ",16
1-1283,"It's  this  side,  sir. ",4
1-1284,What  time  did  you  bring  it  up  last  night? ,9
1-1285,"About  quarter-past  seven,  I  should  say,  sir. ",7
1-1286,And  when  did  you  take  it  into  Mr.s.  Inglethorp's  room? ,10
1-1287,"When  I  went  to  shut  up,  sir. ",7
1-1288,About  eight  o'clock. ,3
1-1289,Mr.s.  Inglethorp  came  up  to  bed  before  I'd  finished. ,9
1-1290,"Then,  between  7.15 ",3
1-1291,"and  8 o'clock,  the  cocoa  was  standing  on  the  table  in  the  left  wing? ",14
1-1292,"Yes,  sir. ",2
1-1293,"Annie  had  been  growing  redder  and  redder  in  the  face,  and  now  she  blurted  out  unexpectedly:  And  if  there  was  salt  in  it,  sir,  it  wasn't  me. ",27
1-1294,I  never  took  the  salt  near  it. ,7
1-1295,What  makes  you  think  there  was  salt  in  it?  asked  Poirot. ,11
1-1296,"Seeing  it  on  the  tray,  sir. ",6
1-1297,You  saw  some  salt  on  the  tray? ,7
1-1298,Yes. ,1
1-1299,"Coarse  kitchen  salt,  it  looked. ",5
1-1300,"I  never  noticed  it  when  I  took  the  tray  up,  but  when  I  came  to  take  it  into  the  mistress's  room  I  saw  it  at  once,  and  I  suppose  I  ought  to  have  taken  it  down  again,  and  asked  Cook  to  make  some  fresh. ",44
1-1301,"But  I  was  in  a  hurry,  because  Dorcas  was  out,  and  I  thought  maybe  the  cocoa  itself  was  all  right,  and  the  salt  had  only  gone  on  the  tray. ",29
1-1302,"So  I  dusted  it  off  with  my  apron,  and  took  it  in. ",12
1-1303,I  had  the  utmost  difficulty  in  controlling  my  excitement. ,9
1-1304,"Unknown  to  herself,  Annie  had  provided  us  with  an  important  piece  of  evidence. ",13
1-1305,"How  she  would  have  gaped  if  she  had  realized  that  her  coarse  kitchen  salt  was  strychnine,  one  of  the  most  deadly  poisons  known  to  mankind. ",25
1-1306,I  marvelled  at  Poirot's  calm. ,5
1-1307,His  self-control  was  astonishing. ,4
1-1308,"I  awaited  his  next  question  with  impatience,  but  it  disappointed  me. ",11
1-1309,"When  you  went  into  Mr.s.  Inglethorp's  room,  was  the  door  leading  into  Miss  Cynthia's  room  bolted? ",16
1-1310,Oh! ,1
1-1311,"Yes,  sir;  it  always  was. ",5
1-1312,It  had  never  been  opened. ,5
1-1313,And  the  door  into  mr  Inglethorp's  room? ,7
1-1314,Did  you  notice  if  that  was  bolted  too? ,8
1-1315,Annie  hesitated. ,2
1-1316,"I  couldn't  rightly  say,  sir;  it  was  shut  but  I  couldn't  say  whether  it  was  bolted  or  not. ",18
1-1317,"When  you  finally  left  the  room,  did  Mr.s.  Inglethorp  bolt  the  door  after  you? ",14
1-1318,"No,  sir,  not  then,  but  I  expect  she  did  later. ",10
1-1319,She  usually  did  lock  it  at  night. ,7
1-1320,"The  door  into  the  passage,  that  is. ",7
1-1321,Did  you  notice  any  candle  grease  on  the  floor  when  you  did  the  room  yesterday? ,15
1-1322,Candle  grease? ,2
1-1323,"Oh,  no,  sir. ",3
1-1324,"Mr.s.  Inglethorp  didn't  have  a  candle,  only  a  reading-lamp. ",9
1-1325,"Then,  if  there  had  been  a  large  patch  of  candle  grease  on  the  floor,  you  think  you  would  have  been  sure  to  have  seen  it? ",25
1-1326,"Yes,  sir,  and  I  would  have  taken  it  out  with  a  piece  of  blotting-paper  and  a  hot  iron. ",18
1-1327,Then  Poirot  repeated  the  question  he  had  put  to  Dorcas:  Did  your  mistress  ever  have  a  green  dress? ,18
1-1328,"No,  sir. ",2
1-1329,"Nor  a  mantle,  nor  a  cape,  nor  a...how  do  you  call  it?...a ",12
1-1330,sports  coat? ,2
1-1331,"Not  green,  sir. ",3
1-1332,Nor  anyone  else  in  the  house? ,6
1-1333,Annie  reflected. ,2
1-1334,"No,  sir. ",2
1-1335,You  are  sure  of  that? ,5
1-1336,Quite  sure. ,2
1-1337,Bien! ,1
1-1338,That  is  all  I  want  to  know. ,7
1-1339,Thank  you  very  much. ,4
1-1340,"With  a  nervous  giggle,  Annie  took  herself  creakingly  out  of  the  room. ",12
1-1341,My  pent-up  excitement  burst  forth. ,5
1-1342,"Poirot,  I  cried,  I  congratulate  you! ",6
1-1343,This  is  a  great  discovery. ,5
1-1344,What  is  a  great  discovery? ,5
1-1345,"Why,  that  it  was  the  cocoa  and  not  the  coffee  that  was  poisoned. ",13
1-1346,That  explains  everything! ,3
1-1347,"Of  course  it  did  not  take  effect  until  the  early  morning,  since  the  cocoa  was  only  drunk  in  the  middle  of  the  night. ",23
1-1348,"So  you  think  that  the  cocoa...mark  well  what  I  say,  Hastings,  the  cocoa...contained  strychnine? ",14
1-1349,Of  course! ,2
1-1350,"That  salt  on  the  tray,  what  else  could  it  have  been? ",11
1-1351,"It  might  have  been  salt,  replied  Poirot  placidly. ",8
1-1352,I  shrugged  my  shoulders. ,4
1-1353,"If  he  was  going  to  take  the  matter  that  way,  it  was  no  good  arguing  with  him. ",17
1-1354,"The  idea  crossed  my  mind,  not  for  the  first  time,  that  poor  old  Poirot  was  growing  old. ",17
1-1355,Privately  I  thought  it  lucky  that  he  had  associated  with  him  some  one  of  a  more  receptive  type  of  mind. ,20
1-1356,Poirot  was  surveying  me  with  quietly  twinkling  eyes. ,8
1-1357,"You  are  not  pleased  with  me,  mon  ami? ",8
1-1358,"My  dear  Poirot,  I  said  coldly,  it  is  not  for  me  to  dictate  to  you. ",15
1-1359,"You  have  a  right  to  your  own  opinion,  just  as  I  have  to  mine. ",14
1-1360,"A  most  admirable  sentiment,  remarked  Poirot,  rising  briskly  to  his  feet. ",11
1-1361,Now  I  have  finished  with  this  room. ,7
1-1362,"By  the  way,  whose  is  the  smaller  desk  in  the  corner? ",11
1-1363,mr  Inglethorp's. ,2
1-1364,Ah! ,1
1-1365,He  tried  the  roll  top  tentatively. ,6
1-1366,Locked. ,1
1-1367,But  perhaps  one  of  Mr.s.  Inglethorp's  keys  would  open  it. ,10
1-1368,"He  tried  several,  twisting  and  turning  them  with  a  practiced  hand,  and  finally  uttering  an  ejaculation  of  satisfaction. ",18
1-1369,Voila! ,1
1-1370,"It  is  not  the  key,  but  it  will  open  it  at  a  pinch. ",13
1-1371,"He  slid  back  the  roll  top,  and  ran  a  rapid  eye  over  the  neatly  filed  papers. ",16
1-1372,"To  my  surprise,  he  did  not  examine  them,  merely  remarking  approvingly  as  he  relocked  the  desk:  Decidedly,  he  is  a  man  of  method,  this  mr  Inglethorp! ",26
1-1373,"A  'man  of  method'  was,  in  Poirot's  estimation,  the  highest  praise  that  could  be  bestowed  on  any  individual. ",18
1-1374,"I  felt  that  my  friend  was  not  what  he  had  been  as  he  rambled  on  disconnectedly:  There  were  no  stamps  in  his  desk,  but  there  might  have  been,  eh,  mon  ami? ",31
1-1375,Yes ...his  eyes  wandered  round  the  room... this  boudoir  has  nothing  more  to  tell  us. ,17
1-1376,It  did  not  yield  much. ,5
1-1377,Only  this. ,2
1-1378,"He  pulled  a  crumpled  envelope  out  of  his  pocket,  and  tossed  it  over  to  me. ",15
1-1379,It  was  rather  a  curious  document. ,6
1-1380,"A  plain,  dirty  looking  old  envelope  with  a  few  words  scrawled  across  it,  apparently  at  random. ",16
1-1381,The  following  is  a  facsimile  of  it. ,7
2-1,"Where did you  find  this?  I  asked  Poirot,  in  lively  curiosity. ",11
2-2,In  the  waste-paper  waste-paper  basket. ,5
2-3,You  recognise  the  handwriting? ,4
2-4,"Yes,  it  is  Mr.s.  Inglethorp's. ",5
2-5,But  what  does  it  mean? ,5
2-6,Poirot  shrugged  his  shoulders. ,4
2-7,I  cannot  say...but  it  is  suggestive. ,6
2-8,A  wild  idea  flashed  across  me. ,6
2-9,Was  it  possible  that  Mr.s.  Inglethorp's  mind  was  deranged? ,9
2-10,Had  she  some  fantastic  idea  of  demoniacal  possession? ,8
2-11,"And,  if  that  were  so,  was  it  not  also  possible  that  she  might  have  taken  her  own  life? ",18
2-12,"I  was  about  to  expound  these  theories  to  Poirot,  when  his  own  words  distracted  me. ",15
2-13,"Come,  he  said,  now  to  examine  the  coffee-cups! ",8
2-14,My  dear  Poirot! ,3
2-15,"What  on  earth  is  the  good  of  that,  now  that  we  know  about  the  cocoa? ",15
2-16,"Oh,  la  la! ",3
2-17,That  miserable  cocoa!  cried  Poirot  flippantly. ,6
2-18,"He  laughed  with  apparent  enjoyment,  raising  his  arms  to  heaven  in  mock  despair,  in  what  I  could  not  but  consider  the  worst  possible  taste. ",24
2-19,"And,  anyway,  I  said,  with  increasing  coldness,  as  Mr.s.  Inglethorp  took  her  coffee  upstairs  with  her,  I  do  not  see  what  you  expect  to  find,  unless  you  consider  it  likely  that  we  shall  discover  a  packet  of  strychnine  on  the  coffee  tray! ",42
2-20,Poirot  was  sobered  at  once. ,5
2-21,"Come,  come,  my  friend,  he  said,  slipping  his  arms  through  mine. ",11
